Red,Blue,Yellow,Distance,Result,Expected
67.65,54.90,54.90,2.10,0,2
66.67,54.90,54.90,2.10,0,2
67.65,54.90,54.90,2.10,0,2
66.67,53.92,53.92,2.10,0,2
65.69,53.92,53.92,2.10,0,2
66.67,52.94,52.94,2.10,0,2
66.67,53.92,53.92,2.10,0,2
62.75,50.00,50.00,2.10,0,2
62.75,50.00,50.00,2.10,0,2
62.75,50.00,50.00,2.10,0,2
63.73,50.98,50.98,2.10,0,2
62.75,50.00,50.00,2.10,0,2
63.73,51.96,51.96,2.10,0,2
61.76,49.02,49.02,2.10,0,2
60.78,49.02,49.02,2.10,0,2
58.82,48.04,48.04,2.10,0,2
58.82,47.06,47.06,2.10,0,2
57.84,46.08,46.08,2.10,0,2
57.84,46.08,46.08,2.10,0,2
56.86,45.10,45.10,2.60,0,2
55.88,45.10,45.10,2.60,0,2
55.88,44.12,44.12,2.60,0,2
53.92,43.14,43.14,2.60,0,2
53.92,43.14,43.14,2.60,0,2
54.90,43.14,43.14,2.60,0,2
53.92,43.14,43.14,2.60,0,2
51.96,41.18,41.18,2.60,0,2
52.94,41.18,41.18,2.60,0,2
52.94,42.16,42.16,2.60,0,2
51.96,41.18,41.18,2.60,0,2
50.00,40.20,40.20,2.60,0,2
49.02,39.22,39.22,3.00,0,2
50.00,40.20,40.20,3.00,0,2
48.04,38.24,38.24,2.80,0,2
48.04,38.24,38.24,2.80,0,2
47.06,37.25,37.25,2.80,0,2
48.04,38.24,38.24,2.80,0,2
47.06,37.25,37.25,2.80,0,2
45.10,36.27,36.27,2.80,0,2
45.10,35.29,35.29,2.80,0,2
45.10,35.29,35.29,2.80,0,2
46.08,36.27,36.27,2.80,0,2
46.08,36.27,36.27,2.80,0,2
43.14,33.33,33.33,2.80,0,2
42.16,34.31,34.31,2.80,0,2
42.16,33.33,33.33,3.00,0,2
41.18,32.35,32.35,3.00,0,2
39.22,31.37,31.37,3.00,0,2
40.20,31.37,31.37,3.00,0,2
38.24,31.37,31.37,3.00,0,2
38.24,31.37,31.37,3.00,0,2
38.24,30.39,30.39,3.00,0,2
37.25,29.41,29.41,3.00,0,2
37.25,29.41,29.41,3.00,0,2
37.25,29.41,29.41,3.00,0,2
37.25,29.41,29.41,3.00,0,2
37.25,30.39,30.39,3.00,0,2
37.25,29.41,29.41,3.00,0,2
36.27,28.43,28.43,3.00,0,2
35.29,27.45,27.45,3.00,0,2
35.29,27.45,27.45,3.00,0,2
35.29,28.43,28.43,3.00,0,2
34.31,27.45,27.45,3.00,0,2
34.31,27.45,27.45,3.00,0,2
35.29,27.45,27.45,3.00,0,2
35.29,27.45,27.45,3.00,0,2
34.31,27.45,27.45,3.00,0,2
33.33,27.45,27.45,3.00,0,2
34.31,26.47,26.47,3.00,0,2
34.31,27.45,27.45,3.00,0,2
32.35,26.47,26.47,3.00,0,2
33.33,25.49,25.49,3.00,0,2
33.33,25.49,25.49,3.00,0,2
32.35,25.49,25.49,3.40,0,2
32.35,25.49,25.49,3.40,0,2
31.37,25.49,25.49,3.40,0,2
31.37,24.51,24.51,3.40,0,2
30.39,23.53,23.53,3.40,0,2
30.39,24.51,24.51,3.40,0,2
30.39,24.51,24.51,3.40,0,2
30.39,24.51,24.51,3.40,0,2
30.39,24.51,24.51,3.40,0,2
30.39,23.53,23.53,3.40,0,2
31.37,23.53,23.53,3.40,0,2
29.41,23.53,23.53,3.40,0,2
31.37,24.51,24.51,3.40,0,2
30.39,23.53,23.53,3.40,0,2
29.41,20.59,20.59,3.40,0,2
29.41,22.55,22.55,3.40,0,2
29.41,23.53,23.53,3.90,0,2
30.39,25.49,25.49,3.90,0,2
28.43,22.55,22.55,3.90,0,2
28.43,22.55,22.55,3.90,0,2
28.43,22.55,22.55,3.60,0,2
29.41,21.57,21.57,3.60,0,2
29.41,23.53,23.53,3.60,0,2
28.43,22.55,22.55,3.60,0,2
29.41,22.55,22.55,3.60,0,2
28.43,22.55,22.55,3.60,0,2
28.43,21.57,21.57,3.60,0,2
27.45,22.55,22.55,3.60,0,2
27.45,21.57,21.57,3.60,0,2
28.43,22.55,22.55,3.60,0,2
27.45,22.55,22.55,3.60,0,2
27.45,21.57,21.57,3.60,0,2
26.47,21.57,21.57,3.60,0,2
26.47,21.57,21.57,3.60,0,2
27.45,21.57,21.57,3.60,0,2
26.47,20.59,20.59,3.60,0,2
26.47,20.59,20.59,3.60,0,2
25.49,20.59,20.59,3.60,0,2
25.49,20.59,20.59,3.60,0,2
25.49,19.61,19.61,3.60,0,2
25.49,20.59,20.59,3.60,0,2
25.49,19.61,19.61,3.90,0,2
24.51,19.61,19.61,3.90,0,2
23.53,18.63,18.63,3.90,0,2
24.51,19.61,19.61,3.90,0,2
23.53,18.63,18.63,3.90,0,2
23.53,18.63,18.63,3.90,0,2
24.51,18.63,18.63,3.90,0,2
23.53,18.63,18.63,4.00,0,2
23.53,19.61,19.61,4.00,0,2
24.51,18.63,18.63,4.00,0,2
24.51,18.63,18.63,4.00,0,2
23.53,18.63,18.63,4.00,0,2
